,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Join year,Join month,Last Payment year,Last Payment month,Account Since,subscription type_Basic,subscription type_Premium,subscription type_Standard,Country_type_Australia,Country_type_Brazil,Country_type_Canada,Country_type_France,Country_type_Germany,Country_type_Italy,Country_type_Mexico,Country_type_Spain,Country_type_United Kingdom,Country_type_United States,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Age_bins
12,Standard,12,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,1,2021,11,2023,6,626,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,38-47
13,Basic,10,2022-01-08,2023-06-26,Australia,27,Male,Smartphone,1,2022,1,2023,6,587,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18-27
14,Standard,12,2023-09-05,2023-06-28,Germany,38,Female,Smart TV,1,2023,9,2023,6,-18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
15,Premium,15,2022-07-04,2023-06-27,France,36,Male,Tablet,1,2022,7,2023,6,410,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
16,Basic,10,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1,2022,1,2023,6,571,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
17,Standard,12,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,1,2021,10,2023,6,669,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38-47
18,Premium,15,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1,2023,2,2023,6,184,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28-37
19,Basic,10,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1,2023,5,2023,6,83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
20,Premium,15,2023-10-06,2023-06-22,United States,26,Female,Laptop,1,2023,10,2023,6,-49,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,18-27
21,Basic,10,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1,2022,7,2023,6,392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
22,Standard,12,2021-05-12,2023-06-27,United Kingdom,49,Female,Smart TV,1,2021,5,2023,6,828,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48-57
23,Standard,12,2022-03-04,2023-06-26,Australia,31,Male,Tablet,1,2022,3,2023,6,532,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
24,Basic,10,2023-03-14,2023-06-28,Germany,40,Female,Laptop,1,2023,3,2023,6,157,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
25,Premium,15,2022-12-01,2023-06-27,France,29,Male,Smartphone,1,2022,12,2023,6,260,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
26,Basic,10,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1,2022,8,2023,6,354,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
27,Standard,12,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,1,2021,9,2023,6,690,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,28-37
28,Premium,15,2022-12-19,2023-06-23,Spain,36,Female,Laptop,1,2022,12,2023,6,242,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28-37
29,Basic,10,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1,2023,5,2023,6,93,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,38-47
30,Premium,15,2023-03-02,2023-06-22,United States,28,Female,Smart TV,1,2023,3,2023,6,169,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,18-27
31,Basic,10,2022-07-07,2023-06-28,Canada,37,Male,Tablet,1,2022,7,2023,6,407,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
32,Standard,12,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1,2022,1,2023,6,574,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,38-47
33,Standard,12,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,1,2022,5,2023,6,450,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
34,Basic,10,2023-11-04,2023-06-28,Germany,39,Female,Smart TV,1,2023,11,2023,6,-78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
35,Premium,15,2022-01-03,2023-06-27,France,35,Male,Tablet,1,2022,1,2023,6,592,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
36,Basic,10,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,1,2022,9,2023,6,338,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
37,Standard,12,2021-05-11,2023-06-24,Mexico,32,Male,Smartphone,1,2021,5,2023,6,829,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,28-37
38,Premium,15,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1,2022,12,2023,6,233,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,18-27
39,Basic,10,2023-07-03,2023-06-22,Italy,48,Male,Tablet,1,2023,7,2023,6,46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
40,Premium,15,2023-01-20,2023-06-22,United States,31,Female,Laptop,1,2023,1,2023,6,210,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,28-37
41,Basic,10,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,1,2022,6,2023,6,429,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
42,Standard,12,2022-07-02,2023-06-27,United Kingdom,36,Female,Smart TV,1,2022,7,2023,6,412,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28-37
43,Standard,12,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1,2022,4,2023,6,479,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
44,Basic,10,2023-01-28,2023-06-28,Germany,43,Female,Laptop,1,2023,1,2023,6,202,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
45,Premium,15,2022-02-23,2023-06-27,France,34,Male,Smartphone,1,2022,2,2023,6,541,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
46,Basic,10,2022-05-10,2023-06-25,Brazil,39,Female,Smart TV,1,2022,5,2023,6,465,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
47,Standard,12,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,1,2021,9,2023,6,702,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,28-37
48,Premium,15,2022-10-11,2023-06-23,Spain,28,Female,Laptop,1,2022,10,2023,6,311,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,18-27
49,Basic,10,2023-02-06,2023-06-22,Italy,45,Male,Smartphone,1,2023,2,2023,6,193,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,38-47
50,Premium,15,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1,2023,2,2023,6,172,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28-37
51,Basic,10,2022-08-29,2023-06-28,Canada,37,Male,Tablet,1,2022,8,2023,6,354,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
52,Standard,12,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,1,2022,1,2023,6,582,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,38-47
53,Standard,12,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1,2022,6,2023,6,414,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
54,Basic,10,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1,2023,4,2023,6,120,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
55,Premium,15,2022-03-15,2023-06-27,France,36,Male,Tablet,1,2022,3,2023,6,521,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
56,Basic,10,2022-01-10,2023-06-25,Brazil,46,Female,Laptop,1,2022,1,2023,6,585,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
57,Standard,12,2021-08-10,2023-06-24,Mexico,34,Male,Smartphone,1,2021,8,2023,6,738,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,28-37
58,Premium,15,2022-03-12,2023-06-23,Spain,27,Female,Smart TV,1,2022,3,2023,6,524,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,18-27
59,Basic,10,2023-06-14,2023-06-22,Italy,42,Male,Tablet,1,2023,6,2023,6,65,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
60,Premium,15,2023-08-02,2023-06-22,United States,28,Female,Laptop,1,2023,8,2023,6,16,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,18-27
61,Basic,10,2022-03-08,2023-06-28,Canada,37,Male,Smartphone,1,2022,3,2023,6,528,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
62,Standard,12,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1,2022,2,2023,6,541,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38-47
63,Standard,12,2022-06-20,2023-06-26,Australia,29,Male,Tablet,1,2022,6,2023,6,424,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
64,Basic,10,2023-03-29,2023-06-28,Germany,40,Female,Laptop,1,2023,3,2023,6,142,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
65,Premium,15,2022-01-30,2023-06-27,France,29,Male,Smartphone,1,2022,1,2023,6,565,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
66,Basic,10,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1,2022,9,2023,6,334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
67,Standard,12,2021-09-11,2023-06-24,Mexico,33,Male,Tablet,1,2021,9,2023,6,706,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,28-37
68,Premium,15,2022-12-23,2023-06-23,Spain,36,Female,Laptop,1,2022,12,2023,6,238,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28-37
69,Basic,10,2023-08-05,2023-06-22,Italy,41,Male,Smartphone,1,2023,8,2023,6,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,38-47
70,Basic,10,2022-01-26,2023-06-20,United States,27,Male,Smartphone,1,2022,1,2023,6,569,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18-27
71,Basic,10,2022-11-10,2023-06-22,Canada,31,Female,Smartphone,1,2022,11,2023,6,281,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
72,Standard,12,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1,2022,9,2023,6,325,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,18-27
73,Premium,13,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1,2022,12,2023,6,247,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
74,Basic,13,2022-05-28,2023-06-26,Germany,28,Female,Laptop,1,2022,5,2023,6,447,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,18-27
75,Basic,13,2021-12-29,2023-06-26,France,51,Female,Laptop,1,2021,12,2023,6,597,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,48-57
76,Premium,15,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,1,2022,12,2023,6,236,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
77,Standard,15,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1,2022,11,2023,6,273,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,48-57
78,Standard,15,2022-03-12,2023-06-25,Spain,43,Female,Laptop,1,2022,3,2023,6,524,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,38-47
79,Basic,12,2022-08-11,2023-06-22,Italy,43,Male,Tablet,1,2022,8,2023,6,372,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
80,Premium,10,2023-11-01,2023-06-24,United States,37,Male,Tablet,1,2023,11,2023,6,-75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28-37
81,Standard,12,2022-07-12,2023-06-28,Canada,35,Male,Laptop,1,2022,7,2023,6,402,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
82,Basic,10,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1,2022,10,2023,6,302,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38-47
83,Standard,12,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,1,2023,4,2023,6,127,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
84,Premium,10,2023-06-04,2023-06-27,Germany,37,Female,Laptop,1,2023,6,2023,6,75,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
85,Basic,11,2022-04-03,2023-06-25,France,29,Female,Smartphone,1,2022,4,2023,6,502,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
86,Premium,15,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1,2021,12,2023,6,598,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
87,Standard,12,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,1,2022,9,2023,6,325,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,38-47
88,Basic,15,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1,2022,10,2023,6,302,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38-47
89,Standard,13,2023-03-02,2023-06-23,Italy,49,Female,Smartphone,1,2023,3,2023,6,169,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,48-57
90,Premium,11,2022-03-10,2023-06-23,United States,39,Male,Tablet,1,2022,3,2023,6,526,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
91,Basic,14,2022-05-01,2023-06-28,Canada,39,Male,Smart TV,1,2022,5,2023,6,474,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
92,Standard,12,2022-05-02,2023-06-26,United Kingdom,35,Male,Smartphone,1,2022,5,2023,6,473,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,28-37
93,Premium,12,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,1,2022,3,2023,6,517,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
94,Basic,11,2022-02-28,2023-06-25,Germany,34,Male,Laptop,1,2022,2,2023,6,536,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
95,Premium,14,2022-07-26,2023-06-24,France,32,Male,Laptop,1,2022,7,2023,6,388,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
96,Basic,10,2022-05-03,2023-06-24,Brazil,29,Female,Tablet,1,2022,5,2023,6,472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
97,Standard,13,2022-07-03,2023-06-28,Mexico,31,Female,Tablet,1,2022,7,2023,6,411,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,28-37
98,Standard,12,2023-01-13,2023-06-24,Spain,29,Female,Tablet,1,2023,1,2023,6,217,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,28-37
99,Basic,12,2023-01-22,2023-06-25,Italy,35,Male,Laptop,1,2023,1,2023,6,208,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28-37
100,Premium,11,2022-10-17,2023-06-24,United States,46,Female,Tablet,1,2022,10,2023,6,305,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
101,Basic,12,2022-03-29,2023-06-28,Canada,31,Male,Tablet,1,2022,3,2023,6,507,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
102,Standard,13,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,1,2022,4,2023,6,501,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,28-37
103,Premium,10,2022-08-06,2023-06-25,Australia,38,Male,Laptop,1,2022,8,2023,6,377,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
104,Basic,11,2022-04-03,2023-06-27,Germany,46,Female,Laptop,1,2022,4,2023,6,502,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
105,Premium,10,2022-03-18,2023-06-24,France,49,Female,Tablet,1,2022,3,2023,6,518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48-57
106,Basic,14,2022-07-03,2023-06-24,Brazil,29,Female,Smart TV,1,2022,7,2023,6,411,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
107,Standard,12,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1,2022,5,2023,6,451,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,18-27
108,Standard,13,2023-08-02,2023-06-25,Spain,35,Female,Tablet,1,2023,8,2023,6,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,28-37
109,Basic,13,2023-01-26,2023-06-24,Italy,37,Female,Laptop,1,2023,1,2023,6,204,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28-37
110,Premium,14,2022-07-14,2023-06-27,United States,40,Male,Tablet,1,2022,7,2023,6,400,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,38-47
111,Basic,10,2022-01-06,2023-06-28,Canada,33,Female,Laptop,1,2022,1,2023,6,589,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28-37
112,Standard,15,2022-07-05,2023-06-26,United Kingdom,37,Male,Tablet,1,2022,7,2023,6,409,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,28-37
113,Premium,10,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1,2022,11,2023,6,273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
114,Basic,11,2022-05-04,2023-06-25,Germany,50,Female,Laptop,1,2022,5,2023,6,471,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,48-57
115,Premium,14,2022-05-19,2023-06-23,France,45,Female,Smart TV,1,2022,5,2023,6,456,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
116,Basic,15,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1,2021,10,2023,6,657,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
117,Standard,12,2022-07-08,2023-06-27,Mexico,33,Male,Smartphone,1,2022,7,2023,6,406,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,28-37
118,Standard,11,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,1,2022,9,2023,6,332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38-47
119,Basic,10,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1,2022,10,2023,6,304,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28-37
120,Premium,15,2022-03-10,2023-06-24,United States,27,Male,Smart TV,1,2022,3,2023,6,526,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,18-27
121,Basic,11,2022-03-05,2023-06-28,Canada,51,Male,Smart TV,1,2022,3,2023,6,531,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,48-57
122,Standard,13,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1,2022,5,2023,6,450,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,48-57
123,Premium,15,2022-05-11,2023-06-25,Australia,43,Male,Laptop,1,2022,5,2023,6,464,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
124,Basic,12,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,1,2022,8,2023,6,362,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,38-47
125,Premium,13,2022-09-21,2023-06-23,France,45,Male,Laptop,1,2022,9,2023,6,331,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38-47
126,Basic,10,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1,2021,11,2023,6,633,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
127,Standard,12,2022-06-10,2023-06-27,Mexico,48,Male,Smartphone,1,2022,6,2023,6,434,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38-47
128,Standard,13,2022-05-11,2023-06-23,Spain,38,Male,Smart TV,1,2022,5,2023,6,464,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28-37
129,Basic,14,2023-07-01,2023-06-23,Italy,43,Female,Tablet,1,2023,7,2023,6,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38-47
130,Premium,15,2022-06-10,2023-06-23,United States,47,Male,Laptop,1,2022,6,2023,6,434,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,38-47
131,Basic,15,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1,2022,6,2023,6,420,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
132,Standard,13,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1,2022,6,2023,6,420,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38-47
133,Premium,15,2022-05-11,2023-06-25,Australia,32,Male,Tablet,1,2022,5,2023,6,464,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
134,Basic,13,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1,2022,7,2023,6,396,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
135,Premium,12,2022-09-13,2023-06-26,France,41,Female,Smart TV,1,2022,9,2023,6,339,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38-47
136,Basic,12,2022-10-08,2023-06-22,Brazil,49,Male,Laptop,1,2022,10,2023,6,314,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,48-57
137,Standard,15,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,1,2022,9,2023,6,331,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18-27
